Link,Info
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMTU5MjQ=,Assaf Alakeel Founder SHIFT
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMDY1OTM=,Sundar Natesan Co - Founder Zocket.ai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDUyMTM=,Osama Andijani Founder Startup
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDQ5NDI=,Moath Alaraj Founder &CEO Tipcode
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDM1MzE=,Amin Basalama Co-founder & CEO GuestNaApp
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDI3ODQ=,Ahmed Sobeih Founder & CEO Jeel Gate
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDE4MzA=,Mohamed Al Hallab Co founder - Marketing manager Glanza
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTgwNTc=,Hamza Abusitta CEO & Co-founder Reachware
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTgwNTM=,Haiyan Alsaiyed Founder and CEO Tokenizerly
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTMyNDE=,Vaibhav Dabhade CEO & Founder Anchanto
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTM1Njc=,Manuel De Vits Founder BizDev10X
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTE1MDM=,Mohammed Alzahrani Founder & CEO CARVIND
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTA0MzE=,Motasem Abukhousa Founder & CEO Misk Tax Consultant
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDQwOTQ=,Nada Elbarkouky Co-Founder InfoTraff
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDIyNDg=,abdulaziz aldakkan Co-Founder & CEO Truffle.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDAyOTU=,Nuha Hashem Cofounder Zywa (YC W22)
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDAxNzY=,Abdulrahman Qumsani Co-founder & CEO Mthmr
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTk5MjA=,Nahar Alotaibi Co Founder AmanPay
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTgyODk=,Youmna Yasser Cofounder & Head of Solution Consultancy/Channel Partnership Manager aloo.ai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTc1NjU=,Mazen AlDarrab Founder & CBO ZID
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTQ1NjA=,Ali Alharbi Founder BME Growth
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODkwNDE=,Ebin Ephrem Founder Mercon Strategic Consulting
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODk4NDQ=,Mohammed Amasha Co founder & CFO Mila Celebrations
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODgzMzc=,Ibrahim Raslan Founder Legalzt
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODg5NTE=,Mohammed Alfraihi Co-founder and CTO Rize
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzQ2MTg=,Ibrahim Alshaikh Co-Founder & CEO Dunes Aero
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzAwNzA=,Salman Halawi Founder & CEO Metadesignerz - Imperium Consulting
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0Njk1MDE=,Madiha Shamim Founder and COO HR Ways
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NjMzMDQ=,Meshari Basaffar Co-founder & CEO Commercial Interconnected Systems
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NTY2NDM=,Nabil Borhanu Founder & Manager Partner Graphene Ventures
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NDQ5ODM=,Faizy Ahmed CEO & Co-founder Astra Nova
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MjM2Njc=,MDNIZAM UDDIN Co-founder & CEO Dokan Inc
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MTAyMTY=,Marouane Boudad Founder and CEO CodEuro group
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MDkxNjk=,Leenah Hassan CEO/Co-Founder Globanq
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MDcxNTY=,"Paula Falco Founder, CEO Falco Ux"
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MDEwMTk=,Jack Mangnall Co-Founder Shape Technologies
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzOTkwNTk=,Yasin Hassanien Cofounder & CEO Voktech
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzOTYzMTc=,Amer Alharbi Director / Co Founder SAMI & Hejen
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzOTU2MTc=,Shorouq Mufti Founder Sunrise Marketing
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzNDk1MDY=,Fawaz AlZaid Co-Founder & CBO Shinzō
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzMzYxNDE=,Anwar Almurshed Founder and CEO Digital Technology City
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMzMDQxNDQ=,James Deng Garang Co-founder SaTurNi@
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzMyNTMxOTI=,Hamza Jalal Founder & CEO Shop and Retail Online - SARO
