Link,Info
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDU3MDI=,Luke Bodnar Ceo Yambod Group
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDMxMjc=,AHMED AL FAKHRI CEO Kafaratplus
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDEwODc=,Abo Assaf Alassaf CEO Alassaf
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTYyODg=,Ali Malik CEO ASM
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTQ1NDQ=,Ibrahim Alzuhaimeel ceo OceanX
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTMwOTc=,Omar Al Awlaqi CEO Satel
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTM4NTE=,mohareb alrshidi CEO Igate
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTM4NDI=,Abdulaziz Alobaid CEO SHARE INVESTMENT
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTM3MjI=,Bassam Alaujan CEO ProsperUs
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTI4MTg=,Khalid Al Adad CEO Ollkom Group
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTI3MTY=,فراس اليحيى CEO Balsmy
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTEyMjE=,Majed Alfar CEO NOQOOD
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0OTA0MjA=,Samer Alwaeli CEO SAMA
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODgxMDU=,Ashish Parakh CEO AJM Softwares
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODg3MDU=,Belal Farahat CEO Noqta Plus Marketing Network
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODY3MjM=,Assem El Bassal CEO Mubasher.info KSA- Global Financial Media Dubai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODQwMDQ=,anas alsakka ceo Business Summit
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODQ2MjI=,Aimen Saleh Ahmad CEO AlMatar Group
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODMzNjg=,Mahmoud Hassaan Ceo Angazny.com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODMyMjk=,Rakan Saad Aljumah CEO Interkey Company for Communication & Computer
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODM3MjY=,Mohammed Al Ghuben Ceo Yarno
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0ODA1MDk=,Mutaib Alruhaimi CEO Expert Creators
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzkxODI=,Qusay Salama CEO PlusOne Health
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzgxMjY=,Shariq AbdulHai CEO VALIANT & COMPANY
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzUxNDY=,Mohammed Alshehri CEO catron
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzU5Nzc=,omran badarneh CEO THEDEEPBRAIN
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzQ1MDc=,Abdullah Harmal CEO Felix Land int
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzIxMTg=,Hussein Alharbi CEO KluesAI
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NzE1MDA=,Omnia Fouad CEO OmniaStores LLC
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NjQyODk=,Fadi Yahya CEO Suplift
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0NDUzMjI=,Jiten Padmashali CEO Krish Technolabs
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ0MzczNzg=,Husain Makiya CEO YouGotaGift.com
